,tconst,averageRating,numVotes
179865,tt0304141,7.9,642336
441724,tt0988045,7.6,640210
238553,tt0440963,8.0,638658
78868,tt0107048,8.1,638334
894536,tt2527336,6.9,637835
244008,tt0454876,7.9,636744
897142,tt2562232,7.7,635576
191749,tt0330373,7.7,634392
101988,tt0144084,7.6,633044
864880,tt2294629,7.4,631103
373715,tt0758758,8.1,627838
85118,tt0114746,8.0,622758
1050989,tt5052448,7.7,622260
768325,tt1798709,8.0,621402
731897,tt1637725,6.9,621136
90162,tt0120903,7.3,620743
457640,tt1024648,7.7,618743
661587,tt1446714,7.0,614964
215319,tt0386676,9.0,613902
49940,tt0073195,8.1,612566
956234,tt3460252,7.8,610157
428369,tt0936501,7.8,608100
386067,tt0796366,7.9,606661
1228256,tt8579674,8.2,600353
145992,tt0234215,7.2,600147
111271,tt0162222,7.8,598767
978601,tt3783958,8.0,597750
226894,tt0413300,6.3,597302
72815,tt0099785,7.7,597248
249538,tt0469494,8.2,592370
1075317,tt5463162,7.7,590051
209627,tt0373889,7.5,589237
397279,tt0829482,7.6,588103
90038,tt0120735,8.2,587424
88996,tt0119488,8.2,587018
89748,tt0120363,7.9,586848
205336,tt0364569,8.4,585184
526824,tt1156398,7.6,584632
782184,tt1856101,8.0,583843
51600,tt0075148,8.1,582993
148832,tt0240772,7.7,581656
582786,tt1276104,7.4,581440
557946,tt1219289,7.4,580521
86649,tt0116629,7.0,580008
192551,tt0332280,7.8,578985
874474,tt2356777,8.9,578708
17039,tt0034583,8.5,575813
89141,tt0119654,7.3,575193
572110,tt1250777,7.6,568325
1000643,tt4154664,6.8,566455
564178,tt1232829,7.2,565211
205834,tt0365748,7.9,563661
487542,tt10811166,8.7,562733
887431,tt2442560,8.8,561007
226081,tt0411008,8.3,558659
121127,tt0181689,7.6,557758
225442,tt0409459,7.6,556628
639573,tt1396484,7.3,556318
425749,tt0926084,7.7,556181
917744,tt2872718,7.8,556065
242289,tt0450259,8.0,555693
822210,tt2085059,8.8,555583
173104,tt0290334,7.4,555100
605445,tt1323594,7.6,552879
615042,tt1343092,7.2,552799
228838,tt0417741,7.6,552559
250049,tt0470752,7.7,551702
156870,tt0258463,7.9,551664
239723,tt0443706,7.7,549691
985397,tt3890160,7.6,549204
196650,tt0343818,7.1,546501
48783,tt0071853,8.2,545826
753548,tt1727824,7.9,545540
928094,tt3032476,8.9,544263
513560,tt11286314,7.2,543378
244165,tt0455275,8.3,541630
192628,tt0332452,7.3,540892
866778,tt2306299,8.5,539899
867315,tt2310332,7.4,539316
70298,tt0096874,7.8,538977
1028502,tt4633694,8.4,538827
1144831,tt6644200,7.5,537352
917315,tt2861424,9.1,534855
830267,tt2119532,8.1,533954
593186,tt1298650,6.6,533763
602859,tt1318514,7.6,533695
677069,tt1483013,7.0,531378
248849,tt0467406,7.5,527292
711984,tt1570728,7.4,526349
83428,tt0112641,8.2,525727
430735,tt0945513,7.5,525496
456536,tt1022603,7.7,522182
544301,tt1190634,8.7,521562
210929,tt0376994,6.6,521527
69493,tt0095953,8.0,519268
244033,tt0454921,8.0,519243
737854,tt1659337,7.9,518264
149576,tt0242653,6.7,518170
879284,tt2380307,8.4,516618
666382,tt1457767,7.5,515477
1148119,tt6723592,7.3,514633
1049617,tt5027774,8.1,514601
757596,tt1745960,8.3,514562
231982,tt0425112,7.8,510524
245637,tt0458525,6.5,509926
251930,tt0475784,8.5,509565
782112,tt1856010,8.7,508296
738664,tt1663662,6.9,507168
1047000,tt4972582,7.3,506174
646141,tt1411697,6.5,506073
1058906,tt5180504,8.1,505468
922588,tt2948356,8.0,505356
133563,tt0206634,7.9,505051
785274,tt1872181,6.6,503930
202013,tt0356910,6.5,503218
917746,tt2872732,6.4,503010
1128099,tt6320628,7.4,500401
1159357,tt6966692,8.2,500266
184850,tt0314331,7.6,499957
908235,tt2713180,7.5,499375
70563,tt0097165,8.1,497717
387066,tt0800080,6.6,497617
72564,tt0099487,7.9,497019
27503,tt0047396,8.5,495555
562554,tt1229238,7.4,495297
172847,tt0289879,7.6,494740
35854,tt0057012,8.4,494676
62191,tt0087469,7.5,494280
843054,tt2179136,7.3,494117
1209898,tt8111088,8.7,493562
384037,tt0790636,7.9,493461
580657,tt1270797,6.6,492242
206763,tt0367594,6.7,488960
161658,tt0268380,7.5,488909
241469,tt0448157,6.4,488291
241804,tt0449059,7.8,487222
644539,tt1408101,7.7,486220
803278,tt1979320,8.1,484171
1136544,tt6468322,8.2,483998
768561,tt1800241,7.2,483412
937724,tt3183660,7.2,481094
675090,tt1477834,6.8,480429
88687,tt0119116,7.6,479033
238903,tt0441773,7.6,477592
590237,tt1291584,8.2,476638
766875,tt1790864,6.8,474440
789484,tt1895587,8.1,474286
123408,tt0185906,9.4,473810
654529,tt1430132,6.7,471722
177041,tt0298148,7.3,471111
226499,tt0412142,8.7,470217
711218,tt1568346,7.8,468463
208870,tt0372183,7.7,467931
